					decimal inputs									binary inputs									with leading zeros									
"{"""", ""6TSTPS"", 0x0044, U32L, RW, CSX, "" 17 Set Steps Motor 6 ISA"" },"	.		FF		0	68	255	0	0	0	3	0		0000	1000100	11111111	0	0	0	11	0		0000	0000000000000000000001000100	00000000000000000000000011111111	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000000100010000000000000000000000000011111111000000000000000000000000001100000000000000000000000000000000
"{"""", ""7TACCS"", 0x0048, U32L, RW, CSX, "" 18 Set Acceleration Motor 7 ISA"" },"	.		5		0	72	5	0	0	0	3	0		0000	1001000	101	0	0	0	11	0		0000	0000000000000000000001001000	00000000000000000000000000000101	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000000100100000000000000000000000000000000101000000000000000000000000001100000000000000000000000000000000
"{"""", ""7TVELS"", 0x004C, U32L, RW, CSX, "" 19 Set Velocity Motor 7 ISA"" },"	.		A		0	76	10	0	0	0	3	0		0000	1001100	1010	0	0	0	11	0		0000	0000000000000000000001001100	00000000000000000000000000001010	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000000100110000000000000000000000000000001010000000000000000000000000001100000000000000000000000000000000
"{"""", ""7TSTPS"", 0x0050, U32L, RW, CSX, "" 20 Set Steps Motor 7 ISA"" },"	.		FF		0	80	255	0	0	0	3	0		0000	1010000	11111111	0	0	0	11	0		0000	0000000000000000000001010000	00000000000000000000000011111111	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000000101000000000000000000000000000011111111000000000000000000000000001100000000000000000000000000000000
"{"""", ""8TACCS"", 0x0054, U32L, RW, CSX, "" 21 Set Acceleration Motor 8 ISA"" },"	.		5		0	84	5	0	0	0	3	0		0000	1010100	101	0	0	0	11	0		0000	0000000000000000000001010100	00000000000000000000000000000101	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000000101010000000000000000000000000000000101000000000000000000000000001100000000000000000000000000000000
"{"""", ""8TVELS"", 0x0058, U32L, RW, CSX, "" 22 Set Velocity Motor 8 ISA"" },"	.		A		0	88	10	0	0	0	3	0		0000	1011000	1010	0	0	0	11	0		0000	0000000000000000000001011000	00000000000000000000000000001010	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000000101100000000000000000000000000000001010000000000000000000000000001100000000000000000000000000000000
"{"""", ""8TSTPS"", 0x005C, U32L, RW, CSX, "" 23 Set Steps Motor 8 ISA"" },"	.		FF		0	92	255	0	0	0	3	0		0000	1011100	11111111	0	0	0	11	0		0000	0000000000000000000001011100	00000000000000000000000011111111	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000000101110000000000000000000000000011111111000000000000000000000000001100000000000000000000000000000000
"{"""", ""XTCMD"",  0x0060, U32L, RW, CXX, "" 24 Command(b0 Reset, b1 Trig Config, b2 go EPCS, b3 read EPCS, b4 write EPCS, b5 erase EPCS, b6..15 eeprom trigger start address)"" },"	.		3		0	96	3	0	0	0	3	5		0000	1100000	11	0	0	0	11	101		0000	0000000000000000000001100000	00000000000000000000000000000011	00000000	00000000	00000000	0011	00000000000000000000000000000101		0000000000000000000000000110000000000000000000000000000000000011000000000000000000000000001100000000000000000000000000000101
			0		1	100	0	0	0	0	3	5				0									00000000000000000000000000000000							
"{"""", ""1TCMD"",  0x0064, U32L, RW, CXX, "" 25 Motor 1 command (b0 move, b1 inhibit mask, b2 crash, b3 stop, b4 clear done, b5 direction, b6 low current mask, b7 auto/fiber mode, b8 clr sgn step, b9 clr abs step)"" },"	.		1		0	100	1	0	0	0	3	0		0000	1100100	1	0	0	0	11	0		0000	0000000000000000000001100100	00000000000000000000000000000001	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000000110010000000000000000000000000000000001000000000000000000000000001100000000000000000000000000000000
"{"""", ""2TCMD"",  0x0068, U32L, RW, CXX, "" 26 Motor 2 command (b0 move, b1 inhibit mask, b2 crash, b3 stop, b4 clear done, b5 direction, b6 low current mask, b7 auto/fiber mode, b8 clr sgn step, b9 clr abs step)"" },"	.		1		0	104	1	0	0	0	3	0		0000	1101000	1	0	0	0	11	0		0000	0000000000000000000001101000	00000000000000000000000000000001	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000000110100000000000000000000000000000000001000000000000000000000000001100000000000000000000000000000000
"{"""", ""3TCMD"",  0x006C, U32L, RW, CXX, "" 27 Motor 3 command (b0 move, b1 inhibit mask, b2 crash, b3 stop, b4 clear done, b5 direction, b6 low current mask, b7 auto/fiber mode, b8 clr sgn step, b9 clr abs step)"" },"	.		1		0	108	1	0	0	0	3	0		0000	1101100	1	0	0	0	11	0		0000	0000000000000000000001101100	00000000000000000000000000000001	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000000110110000000000000000000000000000000001000000000000000000000000001100000000000000000000000000000000
"{"""", ""4TCMD"",  0x0070, U32L, RW, CXX, "" 28 Motor 4 command (b0 move, b1 inhibit mask, b2 crash, b3 stop, b4 clear done, b5 direction, b6 low current mask, b7 auto/fiber mode, b8 clr sgn step, b9 clr abs step)"" },"	.		0		0	112	0	0	0	0	3	0		0000	1110000	0	0	0	0	11	0		0000	0000000000000000000001110000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000000111000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""5TCMD"",  0x0074, U32L, RW, CXX, "" 29 Motor 5 command (b0 move, b1 inhibit mask, b2 crash, b3 stop, b4 clear done, b5 direction, b6 low current mask, b7 auto/fiber mode, b8 clr sgn step, b9 clr abs step)"" },"	.		0		0	116	0	0	0	0	3	0		0000	1110100	0	0	0	0	11	0		0000	0000000000000000000001110100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000000111010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""6TCMD"",  0x0078, U32L, RW, CXX, "" 30 Motor 6 command (b0 move, b1 inhibit mask, b2 crash, b3 stop, b4 clear done, b5 direction, b6 low current mask, b7 auto/fiber mode, b8 clr sgn step, b9 clr abs step)"" },"	.		0		0	120	0	0	0	0	3	0		0000	1111000	0	0	0	0	11	0		0000	0000000000000000000001111000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000000111100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""7TCMD"",  0x007C, U32L, RW, CXX, "" 31 Motor 7 command (b0 move, b1 inhibit mask, b2 crash, b3 stop, b4 clear done, b5 direction, b6 low current mask, b7 auto/fiber mode, b8 clr sgn step, b9 clr abs step)"" },"	.		0		0	124	0	0	0	0	3	0		0000	1111100	0	0	0	0	11	0		0000	0000000000000000000001111100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000000111110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""8TCMD"",  0x0080, U32L, RW, CXX, "" 32 Motor 8 command (b0 move, b1 inhibit mask, b2 crash, b3 stop, b4 clear done, b5 direction, b6 low current mask, b7 auto/fiber mode, b8 clr sgn step, b9 clr abs step)"" },"	.		0		0	128	0	0	0	0	3	0		0000	10000000	0	0	0	0	11	0		0000	0000000000000000000010000000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000001000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""1TSTAT"", 0x0084, U32L, RO, CXX, "" 33 Motor 1 status (b0 motion, b1 ldir, b2 done, b3 low limit, b4 high limit, b5 limit, b6 inhibit, b7 low current, b8 signed step limit, b9 absolute step limit)"" },"	.		0		1	132	0	0	0	0	3	0		0001	10000100	0	0	0	0	11	0		0001	0000000000000000000010000100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000001000010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""2TSTAT"", 0x0088, U32L, RO, CXX, "" 34 Motor 2 status (b0 motion, b1 ldir, b2 done, b3 low limit, b4 high limit, b5 limit, b6 inhibit, b7 low current, b8 signed step limit, b9 absolute step limit)"" },"	.		0		1	136	0	0	0	0	3	0		0001	10001000	0	0	0	0	11	0		0001	0000000000000000000010001000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000001000100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""3TSTAT"", 0x008C, U32L, RO, CXX, "" 35 Motor 3 status (b0 motion, b1 ldir, b2 done, b3 low limit, b4 high limit, b5 limit, b6 inhibit, b7 low current, b8 signed step limit, b9 absolute step limit)"" },"	.		0		1	140	0	0	0	0	3	0		0001	10001100	0	0	0	0	11	0		0001	0000000000000000000010001100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000001000110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""4TSTAT"", 0x0090, U32L, RO, CXX, "" 36 Motor 4 status (b0 motion, b1 ldir, b2 done, b3 low limit, b4 high limit, b5 limit, b6 inhibit, b7 low current, b8 signed step limit, b9 absolute step limit)"" },"	.		0		1	144	0	0	0	0	3	0		0001	10010000	0	0	0	0	11	0		0001	0000000000000000000010010000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000001001000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""5TSTAT"", 0x0094, U32L, RO, CXX, "" 37 Motor 5 status (b0 motion, b1 ldir, b2 done, b3 low limit, b4 high limit, b5 limit, b6 inhibit, b7 low current, b8 signed step limit, b9 absolute step limit)"" },"	.		0		1	148	0	0	0	0	3	0		0001	10010100	0	0	0	0	11	0		0001	0000000000000000000010010100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000001001010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""6TSTAT"", 0x0098, U32L, RO, CXX, "" 38 Motor 6 status (b0 motion, b1 ldir, b2 done, b3 low limit, b4 high limit, b5 limit, b6 inhibit, b7 low current, b8 signed step limit, b9 absolute step limit)"" },"	.		0		1	152	0	0	0	0	3	0		0001	10011000	0	0	0	0	11	0		0001	0000000000000000000010011000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000001001100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""7TSTAT"", 0x009C, U32L, RO, CXX, "" 39 Motor 7 status (b0 motion, b1 ldir, b2 done, b3 low limit, b4 high limit, b5 limit, b6 inhibit, b7 low current, b8 signed step limit, b9 absolute step limit)"" },"	.		0		1	156	0	0	0	0	3	0		0001	10011100	0	0	0	0	11	0		0001	0000000000000000000010011100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000001001110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""8TSTAT"", 0x00A0, U32L, RO, CXX, "" 40 Motor 8 status (b0 motion, b1 ldir, b2 done, b3 low limit, b4 high limit, b5 limit, b6 inhibit, b7 low current, b8 signed step limit, b9 absolute step limit)"" },"	.		0		1	160	0	0	0	0	3	0		0001	10100000	0	0	0	0	11	0		0001	0000000000000000000010100000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000001010000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""XTSTAT"", 0x00A4, U32L, RO, CXX, "" 41 Status (b0 Heartbeat, b1 EEPROM busy)"" },"	.		0		1	164	0	0	0	0	3	0		0001	10100100	0	0	0	0	11	0		0001	0000000000000000000010100100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000001010010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""XTVER"",  0x00A8, U32L, RO, CXX, "" 42 Firmware Version"" },"	.		0		1	168	0	0	0	0	3	0		0001	10101000	0	0	0	0	11	0		0001	0000000000000000000010101000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000001010100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""1TSTPM"", 0x00AC, U32L, RO, CSX, "" 43 Measured Steps Motor 1"" },"	.		0		1	172	0	0	0	0	3	0		0001	10101100	0	0	0	0	11	0		0001	0000000000000000000010101100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000001010110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""2TSTPM"", 0x00B0, U32L, RO, CSX, "" 44 Measured Steps Motor 2"" },"	.		0		1	176	0	0	0	0	3	0		0001	10110000	0	0	0	0	11	0		0001	0000000000000000000010110000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000001011000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""3TSTPM"", 0x00B4, U32L, RO, CSX, "" 45 Measured Steps Motor 3"" },"	.		0		1	180	0	0	0	0	3	0		0001	10110100	0	0	0	0	11	0		0001	0000000000000000000010110100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000001011010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""4TSTPM"", 0x00B8, U32L, RO, CSX, "" 46 Measured Steps Motor 4"" },"	.		0		1	184	0	0	0	0	3	0		0001	10111000	0	0	0	0	11	0		0001	0000000000000000000010111000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000001011100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""5TSTPM"", 0x00BC, U32L, RO, CSX, "" 47 Measured Steps Motor 5"" },"	.		0		1	188	0	0	0	0	3	0		0001	10111100	0	0	0	0	11	0		0001	0000000000000000000010111100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000001011110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""6TSTPM"", 0x00C0, U32L, RO, CSX, "" 48 Measured Steps Motor 6"" },"	.		0		1	192	0	0	0	0	3	0		0001	11000000	0	0	0	0	11	0		0001	0000000000000000000011000000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000001100000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""7TSTPM"", 0x00C4, U32L, RO, CSX, "" 49 Measured Steps Motor 7"" },"	.		0		1	196	0	0	0	0	3	0		0001	11000100	0	0	0	0	11	0		0001	0000000000000000000011000100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000001100010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""8TSTPM"", 0x00C8, U32L, RO, CSX, "" 50 Measured Steps Motor 8"" },"	.		0		1	200	0	0	0	0	3	0		0001	11001000	0	0	0	0	11	0		0001	0000000000000000000011001000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000001100100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""1TACCL"", 0x00CC, U32L, RO, CSX, "" 51 Last Acceleration Motor 1"" },"	.		0		1	204	0	0	0	0	3	0		0001	11001100	0	0	0	0	11	0		0001	0000000000000000000011001100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000001100110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""1TVELL"", 0x00D0, U32L, RO, CSX, "" 52 Last Velocity Motor 1"" },"	.		0		1	208	0	0	0	0	3	0		0001	11010000	0	0	0	0	11	0		0001	0000000000000000000011010000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000001101000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""1TSTPL"", 0x00D4, U32L, RO, CSX, "" 53 Last Steps Motor 1"" },"	.		0		1	212	0	0	0	0	3	0		0001	11010100	0	0	0	0	11	0		0001	0000000000000000000011010100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000001101010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""2TACCL"", 0x00D8, U32L, RO, CSX, "" 54 Last Acceleration Motor 2"" },"	.		0		1	216	0	0	0	0	3	0		0001	11011000	0	0	0	0	11	0		0001	0000000000000000000011011000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000001101100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""2TVELL"", 0x00DC, U32L, RO, CSX, "" 55 Last Velocity Motor 2"" },"	.		0		1	220	0	0	0	0	3	0		0001	11011100	0	0	0	0	11	0		0001	0000000000000000000011011100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000001101110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""2TSTPL"", 0x00E0, U32L, RO, CSX, "" 56 Last Steps Motor 2"" },"	.		0		1	224	0	0	0	0	3	0		0001	11100000	0	0	0	0	11	0		0001	0000000000000000000011100000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000001110000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""3TACCL"", 0x00E4, U32L, RO, CSX, "" 57 Last Acceleration Motor 3"" },"	.		0		1	228	0	0	0	0	3	0		0001	11100100	0	0	0	0	11	0		0001	0000000000000000000011100100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000001110010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""3TVELL"", 0x00E8, U32L, RO, CSX, "" 58 Last Velocity Motor 3"" },"	.		0		1	232	0	0	0	0	3	0		0001	11101000	0	0	0	0	11	0		0001	0000000000000000000011101000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000001110100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""3TSTPL"", 0x00EC, U32L, RO, CSX, "" 59 Last Steps Motor 3"" },"	.		0		1	236	0	0	0	0	3	0		0001	11101100	0	0	0	0	11	0		0001	0000000000000000000011101100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000001110110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""4TACCL"", 0x00F0, U32L, RO, CSX, "" 60 Last Acceleration Motor 4"" },"	.		0		1	240	0	0	0	0	3	0		0001	11110000	0	0	0	0	11	0		0001	0000000000000000000011110000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000001111000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""4TVELL"", 0x00F4, U32L, RO, CSX, "" 61 Last Velocity Motor 4"" },"	.		0		1	244	0	0	0	0	3	0		0001	11110100	0	0	0	0	11	0		0001	0000000000000000000011110100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000001111010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""4TSTPL"", 0x00F8, U32L, RO, CSX, "" 62 Last Steps Motor 4"" },"	.		0		1	248	0	0	0	0	3	0		0001	11111000	0	0	0	0	11	0		0001	0000000000000000000011111000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000001111100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""5TACCL"", 0x00FC, U32L, RO, CSX, "" 63 Last Acceleration Motor 5"" },"	.		0		1	252	0	0	0	0	3	0		0001	11111100	0	0	0	0	11	0		0001	0000000000000000000011111100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000001111110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""5TVELL"", 0x0100, U32L, RO, CSX, "" 64 Last Velocity Motor 5"" },"	.		0		1	256	0	0	0	0	3	0		0001	100000000	0	0	0	0	11	0		0001	0000000000000000000100000000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000010000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""5TSTPL"", 0x0104, U32L, RO, CSX, "" 65 Last Steps Motor 5"" },"	.		0		1	260	0	0	0	0	3	0		0001	100000100	0	0	0	0	11	0		0001	0000000000000000000100000100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000010000010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
